holders_ratio_category,grant_id,title,holders_ratio,contributor_count_in_round,amount_received_in_round,amount_per_contributor,amount_per_contribution,stamps_per_amount,contribution_count,tx_count_in_round,stamps_per_tx,stamp_holders_tx,valid_stamps_count
normal,7206,Minority Programmers Educational Cohort,0.6226415094339622,106,405.2698,3.973233333333333,3.752498148148148,1.416340423095923,108,106,5.415094339622642,66.0,574.0
normal,5047,learn.0xparc.org,0.5032051282051282,312,2059.9426,10.276887108013936,7.858259147424511,0.7320592331067867,1126,312,4.833333333333333,157.0,1508.0
normal,6344,"Praise – Acknowledge community contributions, build a culture of giving and gratitude",0.625,24,166.84,7.9833763157894735,7.223054761904761,1.3126348597458644,42,24,9.125,15.0,219.0
normal,500,DeFi Dad DeFi Tutorials on YouTube and Twitter,0.4166666666666667,12,72.412,21.3662106081548,15.435300424363454,0.8147820803181792,4006,12,4.916666666666667,5.0,59.0
normal,7514,Neuroscience of Ethereum: Decentralized Science for a Human Node Network,0.5277777777777778,36,834.5767,23.18268611111111,22.556127027027024,0.1833264695743363,37,36,4.25,19.0,153.0
normal,6104,SheFi - Financial Freedom is Feminine,0.5238095238095238,63,415.351,15.093890681003584,13.99068272425249,0.8185847632484332,301,63,5.396825396825397,33.0,340.0
normal,4683,SHARE Protocol,0.5844155844155844,77,311.8285,3.845540476190476,3.629498876404494,1.3661355520742973,89,77,5.532467532467533,45.0,426.0
normal,7204,RightfulShare An Income Movement,0.5238095238095238,21,1628.5367,81.42683500000001,77.54936666666667,0.0564924327465263,21,21,4.380952380952381,11.0,92.0
normal,7185,Artists for Climate - using art to solve the Climate Emergency,0.6,15,45.6998,2.7471941176470587,2.7471941176470587,1.8818463100494969,17,15,5.733333333333333,9.0,86.0
normal,5876,Intentional DAO,0.6363636363636364,22,199.7736,7.908281818181818,6.21365,0.6106913025544918,42,22,5.545454545454546,14.0,122.0
normal,7497,Defi Biolabs is engineering cyanobacteria to produce scalable feed supplement to reduce  greenhouse gas emissions  in cattle.,0.6593406593406593,91,578.1602,6.740888636363636,6.447806521739131,1.0273969048716949,92,91,6.527472527472527,60.0,594.0
normal,4972,JournoDAO: Using Web3 to Upgrade Journalism,0.6666666666666666,15,223.4608,14.224646153846152,11.740977777777776,0.5280568224941466,63,15,7.866666666666666,10.0,118.0
normal,7423,Future Folklore,0.6571428571428571,35,79.3812,2.405490909090909,2.268034285714286,2.8344242717419235,35,35,6.428571428571429,23.0,225.0
