Option,Criterion,Vote,Participant Id,Decision,Incentive,Cohor,Decision Date
Grant 6597: Africa Food Project,Fraudulent impersonation,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6597: Africa Food Project,Has Harmful Content,Slightly Support,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6597: Africa Food Project,Has Hateful Content,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6597: Africa Food Project,Already Funded,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6597: Africa Food Project,Ethereum Connection,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6597: Africa Food Project,Fundraising / Advertising,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6597: Africa Food Project,Open Source,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6597: Africa Food Project,Quid Pro Quo,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6597: Africa Food Project,Important Problem,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6597: Africa Food Project,Non-excludable,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6597: Africa Food Project,Non-rivalrous,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
Grant 6597: Africa Food Project,Team Track record,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Fraudulent impersonation,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Has Harmful Content,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Has Hateful Content,Slightly Oppose,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Already Funded,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Ethereum Connection,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Fundraising / Advertising,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Open Source,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
"Grant 2271: Kotal - Open source alternative to Infura, AlchemyAPI, QuickNode, BisonTrails.",Quid Pro Quo,Very Strong,7e2186a2-4a38-4720-9b2d-a350fd11f353,gc-ebsyvtvnksb,2,5,3/9/2022
