wallet,setSpaces,numVotes,numSpaces,numPOAPs,setPOAPs,setCollections,numCollections,numNFTs,countNFTs,numLens,numLensFollowers,numLensFollowing,hasProofOfHumanity
0x01cf9fd2efa5fdf178bd635c3e2adf25b2052712,"{'poh.eth', 'ens.eth', 'gitcoindao.eth', '0xjim.eth', 'gov.radicle.eth'}",47,5,21,"{64387, 8197, 5895, 64393, 7562, 28049, 51608, 28576, 16804, 938, 20397, 41034, 64462, 16214, 42839, 41309, 23645, 63582, 28643, 63975, 6637}",{'ENS'},1,1,Counter({'ENS': 1}),1,3,0,FALSE
0x03433830468d771a921314d75b9a1dea53c165d7,"{'overstimulated.eth', 'loot-dao.eth', 'devdao.eth'}",5,3,11,"{33218, 70631, 17419, 19180, 7277, 11891, 11892, 16950, 62872, 31579, 17983}","{'ENS', 'Loot', 'Uniswap V3: Positions NFT (UNI-V3-POS)', 'Zorbs'}",4,6,"Counter({'ENS': 3, 'Zorbs': 1, 'Loot': 1, 'Uniswap V3: Positions NFT (UNI-V3-POS)': 1})",1,5,0,FALSE
0x0d82d69485e3a6c520942169e61f9c6432aee158,"{'gasdao.eth', 'lobby3vote.eth'}",3,2,15,"{22177, 25571, 19144, 36681, 8746, 23370, 24715, 48521, 20910, 51388, 8212, 23477, 18681, 23740, 9471}","{'RabbitHole Credentials: NFTs (RHC-NFT)', 'ENS', 'RabbitHole Credentials: DeFi (RHC-DEFI)', 'Zora (ZORA)', 'Pooly - Supporter (POOLY1)', 'RabbitHole Credentials: DAOs (RHC-DAO)', 'Club Pooly (CLUBPOOLY)', 'Uniswap V3: Positions NFT (UNI-V3-POS)'}",8,8,"Counter({'ENS': 1, 'Zora (ZORA)': 1, 'RabbitHole Credentials: NFTs (RHC-NFT)': 1, 'RabbitHole Credentials: DAOs (RHC-DAO)': 1, 'Uniswap V3: Positions NFT (UNI-V3-POS)': 1, 'RabbitHole Credentials: DeFi (RHC-DEFI)': 1, 'Pooly - Supporter (POOLY1)': 1, 'Club Pooly (CLUBPOOLY)': 1})",1,61,18,FALSE
0x0ea26051f7657d59418da186137141cea90d0652,{'gnosis.eth'},1,1,11,"{14787, 50184, 70409, 58794, 66638, 64398, 66863, 64401, 47891, 50452, 60119}",{'ENS'},1,1,Counter({'ENS': 1}),1,16,36,FALSE
0x183bdb344a07ee3d27f07ac4799a56e4a2fe5439,"{'polycatfi.eth', 'thecreative.eth', 'polygon.bzx.eth', 'shedapp.eth', 'aavegotchi.eth', 'tecommons.eth', 'bosondao.eth', 'harmony-mainnet.eth', 'doge2-crypto.eth', 'vote-perp.eth', 'flygame.eth', 'banklessvault.eth', 'spookyswap.eth', 'qqgame.eth', 'minorityprogrammers.eth', 'tetu.eth', 'giv.eth', 'aave.eth', 'quickvote.eth', 'klimadao.eth', 'raidparty.eth', 'stackervc.eth', 'everipediaiq.eth', 'leopards.eth', 'gmx.eth', 'polysafu.eth', 'uberhaus.eth', 'polygaj.eth', 'irstha.eth', 'screensaver.eth', 'qidao.eth', 'polydoge.eth', 'sickvibes.eth', 'polywhirl.eth', 'shot.eth', 'kogecoin.eth', 'voltagefinance.eth', 'opcollective.eth', 'dappdigest.eth', 'beefydao.eth', 'pooltogether.eth', 'snapshot.dcl.eth', 'macncheese.eth', 'syncswapxyz.eth', 'shapeshiftdao.eth', 'decentralgames.eth', 'dfyn.eth', 'harvesters.eth', 'bobuthefarmer.eth', 'paraswap-dao.eth', 'litfam.eth', 'xdaistake.eth', 'balancer.eth', 'treasuredao.eth', 'arablefi.eth', 'yokaiswap.eth', 'cryptogs.eth', 'v02.hopr-dao.eth', 'dinoswapexchange.eth', 'sushigov.eth', 'agavedao.eth', 'memecouncil.eth', 'injay.eth', 'euphoriadao.eth', 'polyvertex.eth'}",609,65,1588,"{34816, 10241, 12292, 22532, 34820, 14343, 16400, 32787, 8212, 36886, 12311, 22552, 26648, 18458, 36889, 20508, 18461, 8222, 18464, 18466, 18468, 18469, 18471, 16425, 22572, 34861, 46820, 34864, 26673, 43058, 16435, 12342, 12343, 47160, 47158, 32829, 16446, 18502, 2120, 8265, 20555, 8270, 10322, 8275, 16474, 22619, 18526, 24678, 30829, 12404, 10362, 12412, 30845, 16516, 24712, 22671, 22674, 20631, 14490, 26778, 14492, 12445, 12447, 14496, 14497, 37025, 16547, 37032, 16559, 12474, 12475, 47292, 45246, 18626, 18627, 14534, 16584, 10443, 37067, 14549, 20696, 16601, 26842, 20703, 24799, 18657, 20707, 35044, 10471, 20714, 20715, 20716, 20717, 20720, 10483, 14580, 39155, 20727, 24823, 18683, 16636, 16643, 12553, 22794, 12557, 12558, 14607, 18706, 10231, 22804, 24856, 18713, 41240, 20763, 41258, 18731, 18733, 18736, 8497, 18737, 18742, 31033, 45369, 33083, 14652, 8511, 10562, 24899, 18758, 18761, 20819, 16731, 2397, 2398, 2400, 14689, 20835, 8550, 10605, 8559, 18808, 10617, 20859, 8572, 6528, 12678, 18829, 8594, 35219, 18841, 35226, 35225, 8604, 35228, 16800, 16801, 20896, 16803, 33185, 8616, 14762, 16810, 6572, 18859, 20912, 12723, 25012, 8629, 8630, 35254, 6585, 25019, 8640, 25024, 8642, 14787, 39363, 10693, 14799, 10711, 39384, 12761, 18906, 475, 16862, 8671, 10719, 8673, 12770, 14816, 14818, 6629, 16868, 16863, 20962, 41442, 14828, 25069, 18928, 23030, 23031, 23032, 23033, 23034, 23035, 43512, 23037, 14852, 10760, 8713, 18954, 18955, 8716, 18956, 18957, 25101, 8721, 14867, 23060, 41492, 8728, 6681, 10776, 39450, 6684, 39449, 6686, 12830, 6688, 8736, 8737, 10787, 6692, 8740, 8735, 14879, 8746, 23082, 14893, 6702, 8750, 10798, 14895, 37431, 12862, 12869, 10822, 39495, 10824, 8782, 12879, 21070, 8787, 39508, 8790, 39511, 14936, 6748, 6749, 8800, 21088, 14946, 43618, 19047, 6762, 14955, 41579, 6767, 21109, 23161, 12923, 10876, 6781, 19068, 25212, 14976, 43647, 6786, 19075, 21124, 6789, 19078, 6792, 8840, 6794, 14986, 17035, 19085, 41616, 31382, 6807, 15000, 33432, 15002, 6812, 6823, 6826, 12971, 15020, 19115, 25261, 37551, 8885, 6842, 6844, 6845, 6846, 10941, 25276, 8898, 39621, 8902, 8903, 17095, 19143, 23239, 23244, 23246, 10960, 23250, 23252, 31444, 23254, 6871, 15065, 6875, 8924, 13021, 15068, 47838, 8929, 10979, 6884, 6885, 17124, 31463, 10986, 21227, 41706, 13037, 13038, 6895, 15088, 8945, 8946, 10993, 15092, 17141, 25328, 6905, 15097, 13052, 11006, 8959, 15106, 19203, 6916, 45830, 6920, 21257, 17162, 8971, 19210, 19211, 31499, 6930, 6931, 8979, 13074, 6934, 6939, 8989, 23325, 21279, 6944, 6945, 11041, 11042, 6948, 8996, 11043, 21286, 9000, 11048, 25381, 25386, 6956, 13106, 25394, 11064, 23352, 17210, 6971, 9020, 9019, 21308, 29498, 29497, 6979, 6980, 15171, 13127, 35659, 15183, 11088, 15186, 9043, 6996, 29527, 7000, 7001, 7002, 7003, 35671, 7005, 7008, 7009, 11106, 7011, 25442, 7017, 7018, 7019, 7022, 7023, 19316, 9077, 23415, 9080, 23416, 23417, 23418, 9084, 23419, 7038, 23420, 7040, 15232, 15234, 11139, 11140, 11141, 7046, 11142, 11144, 19335, 23425, 7051, 48009, 11149, 11150, 13199, 17295, 11153, 11154, 25486, 9108, 11157, 31630, 11159, 33682, 11161, 7066, 11163, 11164, 11162, 11167, 17312, 11169, 7074, 9123, 19362, 13222, 11177, 13226, 11178, 25517, 25518, 7090, 19379, 19383, 9144, 15289, 7098, 9146, 7100, 7101, 11195, 23481, 25535, 19393, 15303, 9165, 7118, 19405, 7121, 37841, 19412, 15319, 9177, 19419, 7133, 15328, 19424, 7141, 19429, 7147, 23537, 15346, 7155, 35826, 7159, 7160, 11258, 11259, 19450, 27643, 11264, 7171, 7176, 11273, 13638, 7181, 25613, 27663, 7184, 19473, 25618, 7188, 27669, 27673, 27674, 27675, 17436, 17437, 7204, 7205, 19495, 7209, 13354, 33834, 37930, 31787, 25649, 7225, 7226, 21563, 25660, 25658, 11326, 9279, 46144, 7234, 9283, 13379, 21571, 9288, 7241, 23625, 19531, 25672, 23421, 23630, 7247, 7248, 7249, 7250, 23422, 11348, 15444, 7254, 23423, 15689, 37977, 15451, 23424, 7262, 17503, 9312, 7265, 11361, 9315, 23426, 35946, 11371, 33899, 37999, 9329, 31872, 7297, 7298, 31884, 9360, 15511, 35994, 23708, 25760, 11430, 11432, 31916, 11437, 9390, 48303, 11445, 11448, 11456, 19649, 25793, 36034, 33985, 7365, 9416, 19782, 7370, 25809, 9426, 7387, 9436, 19676, 21726, 7391, 11499, 11501, 17645, 48366, 48369, 7410, 13557, 29943, 9464, 23804, 9471, 9474, 7427, 9475, 36098, 23820, 11537, 7442, 23825, 7445, 34074, 32028, 7455, 11561, 29994, 23852, 11568, 23858, 7475, 13620, 7477, 21811, 34104, 11587, 11589, 11590, 11591, 7496, 11592, 7498, 11593, 11594, 11595, 11596, 11597, 11598, 9553, 11599, 7507, 7508, 9557, 9558, 11600, 7512, 11602, 11603, 23891, 34135, 44384, 7522, 21866, 48491, 7533, 34160, 17778, 38262, 7543, 34167, 42360, 9596, 11645, 7550, 21887, 34182, 23946, 15756, 7565, 11662, 25996, 7569, 11670, 17815, 7576, 21912, 21919, 11680, 38307, 7590, 28070, 9640, 7594, 34221, 26031, 15794, 7603, 7604, 9653, 17844, 32183, 15801, 9658, 11708, 11716, 7621, 9670, 9671, 27974, 9675, 9676, 19916, 9679, 17871, 9686, 7639, 17880, 15833, 9690, 17883, 30173, 7646, 9694, 34273, 9699, 32237, 19952, 7665, 15863, 19959, 11769, 7674, 24056, 26107, 9727, 15871, 9733, 22024, 28169, 38411, 19981, 22032, 19988, 9749, 34326, 19991, 7704, 19993, 17946, 7707, 26138, 38422, 7712, 34336, 13863, 15911, 11821, 13870, 22061, 24111, 22065, 15926, 20025, 17978, 17979, 7741, 11837, 20034, 7748, 7749, 13893, 24133, 32069, 9802, 17998, 38480, 7764, 11861, 15958, 40536, 13915, 9824, 22112, 7778, 22113, 7780, 26209, 46689, 7783, 7785, 20075, 13940, 38516, 40572, 9854, 9857, 11912, 11913, 16011, 30347, 13965, 7822, 9870, 9875, 13972, 30355, 1687, 7832, 18073, 24215, 34461, 11934, 13983, 16032, 7841, 34463, 7843, 11938, 11942, 18087, 20135, 32427, 20140, 9901, 16045, 13999, 30381, 3763, 7860, 18100, 18101, 24245, 24248, 24247, 9914, 46781, 48831, 7876, 9927, 16080, 9937, 14033, 16081, 7892, 9943, 20183, 16092, 7908, 9957, 7910, 14054, 7912, 16102, 16101, 9963, 7916, 12012, 9966, 12014, 16103, 7921, 26346, 14068, 12021, 34551, 24313, 30458, 42748, 12032, 20228, 30468, 16134, 18182, 14088, 9998, 9999, 16144, 14103, 42779, 26400, 24353, 10018, 26402, 16165, 14119, 12074, 12075, 22317, 20270, 16178, 7987, 38631, 10045, 10046, 14145, 12098, 12102, 26440, 16201, 20299, 34636, 20301, 34635, 34638, 30544, 34640, 20306, 8019, 16211, 10069, 34642, 1879, 10081, 20328, 20332, 8045, 8046, 8047, 42865, 10099, 8053, 18293, 20341, 42870, 12154, 16251, 12156, 18299, 14206, 22395, 12161, 20364, 26509, 14222, 49039, 16272, 8082, 8084, 1945, 18330, 28574, 8102, 16302, 24496, 18354, 8115, 34746, 20411, 38843, 10178, 18371, 26565, 10184, 24521, 12243, 20440, 18393, 32732, 8158, 16351, 8160, 18398, 24545, 24546, 16356, 16357, 20454, 22503, 28643, 30688, 10220, 18416, 10225, 14324, 8183, 16376, 16377, 18428}","{'ENS', 'Decagon (10GON)'}",2,2,"Counter({'ENS': 1, 'Decagon (10GON)': 1})",1,6,19,FALSE
0x2145ac607a1b97d28be117d06474b003dec986b4,"{'qqgame.eth', 'aave.eth', 'balancer.eth', '3nation.eth', 'yokaiswap.eth', 'snapshot.dcl.eth', 'fabien.eth'}",13,7,35,"{36388, 17957, 2598, 41128, 12169, 66056, 17419, 27438, 15088, 15218, 53426, 15798, 23288, 23867}",,0,0,,0,0,0,FALSE
0x2d815240a61731c75fa01b2793e1d3ed09f289d0,"{'xec666.eth', 'masknetwork.eth', 'cronachef.eth', 'qqgame.eth', 'optimismio.eth', 'raidparty.eth', 'aave.eth', 'qidao.eth', 'safedoor.eth', 'ceekar.eth', 'revotu.eth', 'snapshot.dcl.eth', 'fabien.eth', 'blockzerolabs.eth', 'gnosis.eth', 'paraswap-dao.eth', 'xdaistake.eth', 'balancer.eth', 'uniswap', 'yokaiswap.eth'}",118,20,21,"{66056, 17419, 7821, 14103, 36388, 2598, 41128, 27438, 27439, 53426, 15798, 23867, 13392, 15319, 62808, 23001, 20707, 16103, 15218, 60660, 23288}","{'ENS', 'POAP (The Proof of Attendance Protocol)'}",2,2,"Counter({'POAP (The Proof of Attendance Protocol)': 1, 'ENS': 1})",1,5,28,FALSE
0x3e31155a1c17c9f85e74828447aec412090a4622,"{'gitcoindao.eth', 'index-coop.eth'}",45,2,8,"{56674, 19880, 31278, 15118, 15374, 52563, 61590, 21402}","{'0xdf5b5ee15cc96ba7d0cb6bd9b2c0fc4417ab6445', '0x52a45d2f6cbf796b102b3dce20f0414be2b7e473'}",2,2,"Counter({'0xdf5b5ee15cc96ba7d0cb6bd9b2c0fc4417ab6445': 1, '0x52a45d2f6cbf796b102b3dce20f0414be2b7e473': 1})",0,0,0,FALSE
0x3ec44a823e07555b5f889d8d954eec736eb5865b,"{'banklessvault.eth', 'cow.eth', 'ens.eth', 'gitcoindao.eth'}",47,4,21,"{7817, 4882, 24086, 12313, 14498, 11436, 7086, 65219, 452, 2756, 6481, 21201, 2258, 2260, 55509, 6102, 4209, 6642, 62836, 12793}","{'RabbitHole Credentials: NFTs (RHC-NFT)', 'ENS', 'RabbitHole Credentials: DeFi (RHC-DEFI)', 'Pooly - Supporter (POOLY1)', 'POAP (The Proof of Attendance Protocol)', 'RabbitHole Credentials: DAOs (RHC-DAO)', 'Club Pooly (CLUBPOOLY)', 'Uniswap V3: Positions NFT (UNI-V3-POS)'}",8,16,"Counter({'ENS': 8, 'Uniswap V3: Positions NFT (UNI-V3-POS)': 2, 'POAP (The Proof of Attendance Protocol)': 1, 'RabbitHole Credentials: NFTs (RHC-NFT)': 1, 'RabbitHole Credentials: DeFi (RHC-DEFI)': 1, 'RabbitHole Credentials: DAOs (RHC-DAO)': 1, 'Pooly - Supporter (POOLY1)': 1, 'Club Pooly (CLUBPOOLY)': 1})",1,4,6,FALSE
0x3f18b8b7ea6a6f6715de3b75434d45051b495b44,"{'cultivatordao.eth', 'rarible.eth', 'pancake', 'shellprotocol.eth', 'nancy919.eth', 'sharelens.eth', 'arbitrum-odyssey.eth', 'shinedao.eth', 'trustwallet', 'julswap.eth', 'zksyncdao.eth'}",35,11,15,"{23009, 14498, 16643, 65219, 2598, 53830, 38153, 58062, 31664, 16818, 21331, 52532, 49462, 36663, 23580}","{'Pooly - Supporter (POOLY1)', 'Club Pooly (CLUBPOOLY)', 'Zerion', 'Bit islands Genesis Passport NFT'}",4,4,"Counter({'Zerion': 1, 'Pooly - Supporter (POOLY1)': 1, 'Club Pooly (CLUBPOOLY)': 1, 'Bit islands Genesis Passport NFT': 1})",1,105,94,FALSE
